*Wavelength (um) n k 
ComplexRefractiveIndex { 
  Formula = 1 
NumericalTable( 
1.734 3.405 0.1734; 
1.737 3.405 0.1738; 
1.741 3.405 0.1742; 
1.745 3.405 0.1747; 
1.748 3.405 0.1751; 
1.752 3.405 0.1755; 
1.756 3.405 0.1759; 
1.76 3.405 0.1763; 
1.763 3.405 0.1767; 
1.767 3.405 0.1771; 
1.771 3.405 0.1774; 
1.775 3.405 0.1778; 
1.778 3.405 0.1782; 
1.782 3.405 0.1785; 
1.786 3.405 0.1789; 
1.79 3.405 0.1792; 
1.794 3.405 0.1795; 
1.798 3.405 0.1798; 
1.802 3.405 0.1801; 
1.806 3.405 0.1804; 
1.81 3.405 0.1807; 
1.814 3.405 0.1809; 
1.818 3.405 0.1812; 
1.822 3.405 0.1814; 
1.826 3.405 0.1816; 
1.83 3.405 0.1818; 
1.834 3.405 0.182; 
1.838 3.405 0.1822; 
1.842 3.405 0.1824; 
1.846 3.405 0.1826; 
1.85 3.405 0.1827; 
1.854 3.405 0.1829; 
1.858 3.405 0.183; 
1.863 3.405 0.1831; 
1.867 3.405 0.1833; 
1.871 3.405 0.1834; 
1.875 3.405 0.1835; 
1.88 3.405 0.1835; 
1.884 3.405 0.1836; 
1.888 3.405 0.1837; 
1.892 3.405 0.1838; 
1.897 3.405 0.1838; 
1.901 3.405 0.1839; 
1.906 3.405 0.1839; 
1.91 3.405 0.1839; 
1.914 3.405 0.184; 
1.919 3.405 0.184; 
1.923 3.405 0.184; 
1.928 3.405 0.184; 
1.932 3.405 0.184; 
1.937 3.405 0.184; 
1.941 3.405 0.184; 
1.946 3.405 0.1839; 
1.951 3.405 0.1839; 
1.955 3.405 0.1839; 
1.96 3.405 0.1839; 
1.964 3.405 0.1838; 
1.969 3.405 0.1838; 
1.974 3.405 0.1837; 
1.979 3.405 0.1837; 
1.983 3.405 0.1836; 
1.988 3.405 0.1835; 
1.993 3.405 0.1835; 
1.998 3.405 0.1834; 
2.003 3.405 0.1833; 
2.007 3.405 0.1832; 
2.012 3.405 0.1832; 
2.017 3.405 0.1831; 
