wavelength(nm)  n   k,,(k<1000nm ==> adachi),,,,
1764,3.4641,0.0011,,,,
1770,3.4639,0.0008,,,,
1776,3.4637,0.0004,,,,
1781,3.4635,0.0002,,,,
1787,3.4634,0.0001,,,,
1792,3.4632,0.0001,,,,
1798,3.4631,0.0001,,,,
1803,3.4629,0.0001,,,,
1809,3.4626,0.0001,,,,
1815,3.4614,0,,,,
1820,3.4602,0,,,,
1826,3.4591,0,,,,
1831,3.4579,0,,,,
1837,3.4569,0,,,,
1842,3.4568,0,,,,
1848,3.4567,0,,,,
1854,3.4566,0,,,,
1859,3.4565,0,,,,
1865,3.4564,0,,,,
1870,3.4563,0,,,,
1876,3.4561,0,,,,
1881,3.4559,0,,,,
1887,3.4558,0,,,,
1893,3.4556,0,,,,
1898,3.4555,0,,,,
1904,3.4553,0,,,,
1909,3.4552,0,,,,
1915,3.455,0,,,,
1921,3.4549,0,,,,
1926,3.4549,0,,,,
1932,3.4548,0,,,,
1937,3.4547,0,,,,
1943,3.4547,0,,,,
1948,3.4547,0,,,,
1954,3.4546,0,,,,
1960,3.4546,0,,,,
1965,3.4545,0,,,,
1971,3.4545,0,,,,
