Wavelength (nm), n , k
1.2024e+03, 3.5940e+00, 1.4184e-01
1.2139e+03, 3.5894e+00, 1.4123e-01
1.2255e+03, 3.5856e+00, 1.4056e-01
1.2374e+03, 3.5824e+00, 1.3986e-01
1.2495e+03, 3.5795e+00, 1.3911e-01
1.2618e+03, 3.5769e+00, 1.3831e-01
1.2744e+03, 3.5746e+00, 1.3746e-01
1.2872e+03, 3.5724e+00, 1.3655e-01
1.3003e+03, 3.5705e+00, 1.3559e-01
1.3137e+03, 3.5688e+00, 1.3455e-01
1.3273e+03, 3.5672e+00, 1.3343e-01
1.3412e+03, 3.5659e+00, 1.3222e-01
1.3554e+03, 3.5647e+00, 1.3091e-01
1.3700e+03, 3.5637e+00, 1.2949e-01
1.3848e+03, 3.5629e+00, 1.2793e-01
1.4000e+03, 3.5622e+00, 1.2624e-01
1.4155e+03, 3.5618e+00, 1.2438e-01
1.4313e+03, 3.5615e+00, 1.2233e-01
1.4475e+03, 3.5614e+00, 1.2006e-01
1.4641e+03, 3.5614e+00, 1.1754e-01
1.4811e+03, 3.5617e+00, 1.1473e-01
1.4984e+03, 3.5621e+00, 1.1158e-01
1.5162e+03, 3.5628e+00, 1.0802e-01
1.5344e+03, 3.5636e+00, 1.0395e-01
1.5530e+03, 3.5647e+00, 9.9256e-02
1.5721e+03, 3.5659e+00, 9.3739e-02
1.5917e+03, 3.5674e+00, 8.7090e-02
1.6118e+03, 3.5691e+00, 7.8718e-02
1.6324e+03, 3.5709e+00, 6.7139e-02
1.6535e+03, 3.5690e+00, 3.8135e-02
1.6752e+03, 3.5449e+00, 3.7807e-02
1.6974e+03, 3.5340e+00, 0.0000e+00
1.7202e+03, 3.5258e+00, 0.0000e+00
1.7437e+03, 3.5189e+00, 0.0000e+00
1.7678e+03, 3.5129e+00, 0.0000e+00
1.7926e+03, 3.5074e+00, 0.0000e+00
1.8181e+03, 3.5024e+00, 0.0000e+00
1.8443e+03, 3.4978e+00, 0.0000e+00
1.8713e+03, 3.4934e+00, 0.0000e+00
